feature_name,feature_group
text_closest_embedding_497,text_embedding
text_closest_embedding_498,text_embedding
text_closest_embedding_499,text_embedding
text_closest_embedding_500,text_embedding
text_closest_embedding_501,text_embedding
text_closest_embedding_502,text_embedding
text_closest_embedding_503,text_embedding
text_closest_embedding_504,text_embedding
text_closest_embedding_505,text_embedding
text_closest_embedding_506,text_embedding
text_closest_embedding_507,text_embedding
text_closest_embedding_508,text_embedding
text_closest_embedding_509,text_embedding
text_closest_embedding_510,text_embedding
text_closest_embedding_511,text_embedding
text_closest_embedding_512,text_embedding
text_closest_embedding_513,text_embedding
text_closest_embedding_514,text_embedding
text_closest_embedding_515,text_embedding
text_closest_embedding_516,text_embedding
text_closest_embedding_517,text_embedding
text_closest_embedding_518,text_embedding
text_closest_embedding_519,text_embedding
text_closest_embedding_520,text_embedding
text_closest_embedding_521,text_embedding
text_closest_embedding_522,text_embedding
text_closest_embedding_523,text_embedding
text_closest_embedding_524,text_embedding
text_closest_embedding_525,text_embedding
text_closest_embedding_526,text_embedding
text_closest_embedding_527,text_embedding
text_closest_embedding_528,text_embedding
text_closest_embedding_529,text_embedding
text_closest_embedding_530,text_embedding
text_closest_embedding_531,text_embedding
text_closest_embedding_532,text_embedding
text_closest_embedding_533,text_embedding
text_closest_embedding_534,text_embedding
text_closest_embedding_535,text_embedding
text_closest_embedding_536,text_embedding
text_closest_embedding_537,text_embedding
text_closest_embedding_538,text_embedding
text_closest_embedding_539,text_embedding
text_closest_embedding_540,text_embedding
text_closest_embedding_541,text_embedding
text_closest_embedding_542,text_embedding
text_closest_embedding_543,text_embedding
text_closest_embedding_544,text_embedding
text_closest_embedding_545,text_embedding
text_closest_embedding_546,text_embedding
text_closest_embedding_547,text_embedding
text_closest_embedding_548,text_embedding
text_closest_embedding_549,text_embedding
text_closest_embedding_550,text_embedding
text_closest_embedding_551,text_embedding
text_closest_embedding_552,text_embedding
text_closest_embedding_553,text_embedding
text_closest_embedding_554,text_embedding
text_closest_embedding_555,text_embedding
text_closest_embedding_556,text_embedding
text_closest_embedding_557,text_embedding
text_closest_embedding_558,text_embedding
text_closest_embedding_559,text_embedding
text_closest_embedding_560,text_embedding
text_closest_embedding_561,text_embedding
text_closest_embedding_562,text_embedding
text_closest_embedding_563,text_embedding
text_closest_embedding_564,text_embedding
text_closest_embedding_565,text_embedding
text_closest_embedding_566,text_embedding
text_closest_embedding_567,text_embedding
text_closest_embedding_568,text_embedding
text_closest_embedding_569,text_embedding
text_closest_embedding_570,text_embedding
text_closest_embedding_571,text_embedding
text_closest_embedding_572,text_embedding
text_closest_embedding_573,text_embedding
text_closest_embedding_574,text_embedding
text_closest_embedding_575,text_embedding
text_closest_embedding_576,text_embedding
text_closest_embedding_577,text_embedding
text_closest_embedding_578,text_embedding
text_closest_embedding_579,text_embedding
text_closest_embedding_580,text_embedding
text_closest_embedding_581,text_embedding
text_closest_embedding_582,text_embedding
text_closest_embedding_583,text_embedding
text_closest_embedding_584,text_embedding
text_closest_embedding_585,text_embedding
text_closest_embedding_586,text_embedding
text_closest_embedding_587,text_embedding
text_closest_embedding_588,text_embedding
text_closest_embedding_589,text_embedding
text_closest_embedding_590,text_embedding
text_closest_embedding_591,text_embedding
text_closest_embedding_592,text_embedding
text_closest_embedding_593,text_embedding
text_closest_embedding_594,text_embedding
text_closest_embedding_595,text_embedding
text_closest_embedding_596,text_embedding
text_closest_embedding_597,text_embedding
text_closest_embedding_598,text_embedding
text_closest_embedding_599,text_embedding
text_closest_embedding_600,text_embedding
text_closest_embedding_601,text_embedding
text_closest_embedding_602,text_embedding
text_closest_embedding_603,text_embedding
text_closest_embedding_604,text_embedding
text_closest_embedding_605,text_embedding
text_closest_embedding_606,text_embedding
text_closest_embedding_607,text_embedding
text_closest_embedding_608,text_embedding
text_closest_embedding_609,text_embedding
text_closest_embedding_610,text_embedding
text_closest_embedding_611,text_embedding
text_closest_embedding_612,text_embedding
text_closest_embedding_613,text_embedding
text_closest_embedding_614,text_embedding
text_closest_embedding_615,text_embedding
text_closest_embedding_616,text_embedding
text_closest_embedding_617,text_embedding
text_closest_embedding_618,text_embedding
text_closest_embedding_619,text_embedding
text_closest_embedding_620,text_embedding
text_closest_embedding_621,text_embedding
text_closest_embedding_622,text_embedding
text_closest_embedding_623,text_embedding
text_closest_embedding_624,text_embedding
text_closest_embedding_625,text_embedding
text_closest_embedding_626,text_embedding
text_closest_embedding_627,text_embedding
text_closest_embedding_628,text_embedding
text_closest_embedding_629,text_embedding
text_closest_embedding_630,text_embedding
text_closest_embedding_631,text_embedding
text_closest_embedding_632,text_embedding
text_closest_embedding_633,text_embedding
text_closest_embedding_634,text_embedding
text_closest_embedding_635,text_embedding
text_closest_embedding_636,text_embedding
text_closest_embedding_637,text_embedding
text_closest_embedding_638,text_embedding
text_closest_embedding_639,text_embedding
text_closest_embedding_640,text_embedding
text_closest_embedding_641,text_embedding
text_closest_embedding_642,text_embedding
text_closest_embedding_643,text_embedding
text_closest_embedding_644,text_embedding
text_closest_embedding_645,text_embedding
text_closest_embedding_646,text_embedding
text_closest_embedding_647,text_embedding
text_closest_embedding_648,text_embedding
text_closest_embedding_649,text_embedding
text_closest_embedding_650,text_embedding
text_closest_embedding_651,text_embedding
text_closest_embedding_652,text_embedding
text_closest_embedding_653,text_embedding
text_closest_embedding_654,text_embedding
text_closest_embedding_655,text_embedding
text_closest_embedding_656,text_embedding
text_closest_embedding_657,text_embedding
text_closest_embedding_658,text_embedding
text_closest_embedding_659,text_embedding
text_closest_embedding_660,text_embedding
text_closest_embedding_661,text_embedding
text_closest_embedding_662,text_embedding
text_closest_embedding_663,text_embedding
text_closest_embedding_664,text_embedding
text_closest_embedding_665,text_embedding
text_closest_embedding_666,text_embedding
text_closest_embedding_667,text_embedding
text_closest_embedding_668,text_embedding
text_closest_embedding_669,text_embedding
text_closest_embedding_670,text_embedding
text_closest_embedding_671,text_embedding
text_closest_embedding_672,text_embedding
text_closest_embedding_673,text_embedding
text_closest_embedding_674,text_embedding
text_closest_embedding_675,text_embedding
text_closest_embedding_676,text_embedding
text_closest_embedding_677,text_embedding
text_closest_embedding_678,text_embedding
text_closest_embedding_679,text_embedding
text_closest_embedding_680,text_embedding
text_closest_embedding_681,text_embedding
text_closest_embedding_682,text_embedding
text_closest_embedding_683,text_embedding
text_closest_embedding_684,text_embedding
text_closest_embedding_685,text_embedding
text_closest_embedding_686,text_embedding
text_closest_embedding_687,text_embedding
text_closest_embedding_688,text_embedding
text_closest_embedding_689,text_embedding
text_closest_embedding_690,text_embedding
text_closest_embedding_691,text_embedding
text_closest_embedding_692,text_embedding
text_closest_embedding_693,text_embedding
text_closest_embedding_694,text_embedding
text_closest_embedding_695,text_embedding
text_closest_embedding_696,text_embedding
text_closest_embedding_697,text_embedding
text_closest_embedding_698,text_embedding
text_closest_embedding_699,text_embedding
text_closest_embedding_700,text_embedding
text_closest_embedding_701,text_embedding
text_closest_embedding_702,text_embedding
text_closest_embedding_703,text_embedding
text_closest_embedding_704,text_embedding
text_closest_embedding_705,text_embedding
text_closest_embedding_706,text_embedding
text_closest_embedding_707,text_embedding
text_closest_embedding_708,text_embedding
text_closest_embedding_709,text_embedding
text_closest_embedding_710,text_embedding
text_closest_embedding_711,text_embedding
text_closest_embedding_712,text_embedding
text_closest_embedding_713,text_embedding
text_closest_embedding_714,text_embedding
text_closest_embedding_715,text_embedding
text_closest_embedding_716,text_embedding
text_closest_embedding_717,text_embedding
text_closest_embedding_718,text_embedding
text_closest_embedding_719,text_embedding
text_closest_embedding_720,text_embedding
text_closest_embedding_721,text_embedding
text_closest_embedding_722,text_embedding
text_closest_embedding_723,text_embedding
text_closest_embedding_724,text_embedding
text_closest_embedding_725,text_embedding
text_closest_embedding_726,text_embedding
text_closest_embedding_727,text_embedding
text_closest_embedding_728,text_embedding
text_closest_embedding_729,text_embedding
text_closest_embedding_730,text_embedding
text_closest_embedding_731,text_embedding
text_closest_embedding_732,text_embedding
text_closest_embedding_733,text_embedding
text_closest_embedding_734,text_embedding
text_closest_embedding_735,text_embedding
text_closest_embedding_736,text_embedding
text_closest_embedding_737,text_embedding
text_closest_embedding_738,text_embedding
text_closest_embedding_739,text_embedding
text_closest_embedding_740,text_embedding
text_closest_embedding_741,text_embedding
text_closest_embedding_742,text_embedding
text_closest_embedding_743,text_embedding
text_closest_embedding_744,text_embedding
text_closest_embedding_745,text_embedding
text_closest_embedding_746,text_embedding
text_closest_embedding_747,text_embedding
text_closest_embedding_748,text_embedding
text_closest_embedding_749,text_embedding
text_closest_embedding_750,text_embedding
text_closest_embedding_751,text_embedding
text_closest_embedding_752,text_embedding
text_closest_embedding_753,text_embedding
text_closest_embedding_754,text_embedding
text_closest_embedding_755,text_embedding
text_closest_embedding_756,text_embedding
text_closest_embedding_757,text_embedding
text_closest_embedding_758,text_embedding
text_closest_embedding_759,text_embedding
text_closest_embedding_760,text_embedding
text_closest_embedding_761,text_embedding
text_closest_embedding_762,text_embedding
text_closest_embedding_763,text_embedding
text_closest_embedding_764,text_embedding
text_closest_embedding_765,text_embedding
text_closest_embedding_766,text_embedding
text_closest_embedding_767,text_embedding
note_window_count,note_metadata
note_total_count,note_metadata
note_mean_count_per_window,note_metadata
note_max_count_per_window,note_metadata
note_closest_window_index,note_metadata
note_oldest_window_index,note_metadata
note_closest_recency_hours,note_metadata
note_oldest_recency_hours,note_metadata
category_window_physician,note_metadata
category_note_physician,note_metadata
category_window_nursing,note_metadata
category_note_nursing,note_metadata
category_window_radiology,note_metadata
category_note_radiology,note_metadata
antibiotic_count_48h,clinical_event
antibiotic_flag_48h,clinical_event
antibiotic_hours_since_last,clinical_event
vasopressor_count_48h,clinical_event
vasopressor_flag_48h,clinical_event
vasopressor_hours_since_last,clinical_event
culture_count_48h,clinical_event
culture_flag_48h,clinical_event
culture_hours_since_last,clinical_event
